"Poverty, Development and Inequality in Modern African History ",Ivo Ngade,5,A005115
Bantu Corpus Linguistics and Lexicography ,Gilles-Maurice de Schryver,5,A005117
Master's Dissertation,Gilles-Maurice de Schryver,15,A005119
Modern Japanese: Advanced Language Proficiency 1,Christian Uhl,6,A005120
Modern Japanese: Advanced Language Proficiency 2,Christian Uhl,6,A005121
Modern Chinees: hedendaagse Chinese literatuur,Bart Dessein,6,A005122
Modern Chinees: China in de media,Bart Dessein,6,A005123
"Classical Chinese: Language, Text and Context",Ann Heirman,6,A005124
"Classical Japanese: Language, Text and Context 1",Anna Andreeva,6,A005125
Buddhism: Text and Material Culture,Christoph Anderl,6,A005126
Culture in Perspective: South and East Asia,Ann Heirman,6,A005127
"Classical Japanese: Language, Text and Context 2",Anna Andreeva,6,A005128
"Modern Languages of South Asia: Language, Text and Context 1",Biljana Zrnic,6,A005131
"Politiek van het moderne Midden-Oosten: taal, tekst en context",Aymon Kreil,6,A005132
"Modern Languages of South Asia: Language, Text and Context 2",Biljana Zrnic,6,A005133
"Classical Languages of South Asia: Language, Text and Context 1",Eva De Clercq,6,A005134
"Cultuur en samenleving van het moderne Midden-Oosten: taal, tekst en context",Islam Dayeh,6,A005135
"Classical Languages of South Asia: Language, Text and Context 2",Eva De Clercq,6,A005136
Islam and the Global World: Text and Context,Lisa Franke,6,A005137
"Islam, Power and History: Text and Context",Jo Van Steenbergen,6,A005138
Stage,Ann Heirman,12,A005139
Research Seminar Oriental Languages and Cultures,Christoph Anderl,13,A005143
Culture in Perspective: the Near East and the Islamic World,Caroline Janssen,6,A005152
Geschiedenis van Rusland,Ben Dhooge,5,A005155
"Oekraïne: historiografie, taal, natievorming",Aleksey Yudin,5,A005156
Hindi I,Daniela De Simone,10,A005164
Hindi II,Daniela De Simone,10,A005165
Modern Japans I,Andreas Niehaus,10,A005166
Modern Japans II,Andreas Niehaus,10,A005167
Modern Chinees I,Bart Dessein,10,A005168
Modern Chinees II,Bart Dessein,10,A005169
Oosterse literaturen: China,Bart Dessein,5,A005171
Oosterse literaturen: Japan,Luc Van Haute,5,A005172
Modern Chinees VI,Bart Dessein,10,A005173
Master’s Dissertation,Erik Weber,24,A005198
Debatten,Jakob De Roover,0,A005199
Oosterse literaturen: Zuid-Azië,Eva De Clercq,5,A005203
Filosofische vaardigheden en methodiek,Tom Claes,5,A005205
Teksten uit de moderne en hedendaagse wijsbegeerte: Anglo-Amerikaanse traditie,Gertrudis Van de Vijver,5,A005206
Teksten uit de moderne en hedendaagse wijsbegeerte: continentale traditie,Gertrudis Van de Vijver,5,A005207
Filosofie in de samenleving,Seppe Segers,5,A005208
Statistiek ,Els Clays,5,A005209
Inleiding tot de Arabische taalverwerving: Modern Standaard Arabisch en Egyptische spreektaal I,Jo Van Steenbergen,10,A005210
Inleiding tot de Arabische taalverwerving: Modern Standaard Arabisch en Egyptische spreektaal II,Jo Van Steenbergen,10,A005211
Archeologische onderzoekstutorial: pre- en protohistorie,Guy De Mulder,5,A005223
Archeologische onderzoekstutorial: Historische archeologie van noordwest Europa,Wim De Clercq,5,A005224
Archeologische onderzoekstutorial: Mediterrane archeologie,Roald Docter,5,A005226
Bachelorproef,Bart Dessein,5,A005233
IJslands,Johanna Barddal,5,A005235
Historical Scripts and Cultures of Writing in the Middle Ages,Els De Paermentier,5,A005252
Capita Selecta Ancient History,Jeroen Wijnendaele,5,A005253
Research Seminar: World History,Louise Barré,5,A005254
Jodendom,Benjamin De Vos,5,A005267
